City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,leningradskiy,69.38,178.42,55.2,50,99,12.48,RU,1595376784
333,sovetskiy,61.36,63.58,57.29,71,0,1.59,RU,1595376700
334,yashkul,46.17,45.34,73.09,66,29,12.88,RU,1595376785
335,komsomolskiy,40.43,71.72,71.6,43,0,6.93,UZ,1595376785
336,fuling,29.7,107.39,78.75,84,100,1.34,CN,1595376785
337,shihezi,44.3,86.03,77.72,37,72,5.1,CN,1595376689
338,ust-tsilma,65.44,52.15,56.44,81,0,4.65,RU,1595376564
339,saint george,37.1,-113.58,96.01,21,1,11.41,US,1595376510
340,san jose,37.34,-121.89,82.99,53,75,9.17,US,1595376559
341,zaozerne,45.16,33.28,73.47,71,0,10.87,UA,1595376786
342,salinopolis,-0.61,-47.36,78.37,85,26,10.38,BR,1595376686
343,vazhiny,60.96,34.02,59.85,97,100,4.41,RU,1595376786
344,vaitape,-16.52,-151.75,77.68,80,53,22.95,PF,1595376786
345,san matias,-16.37,-58.4,78.04,34,0,5.41,BO,1595376786
346,odiongan,12.4,121.99,82.65,78,96,7.25,PH,1595376787
347,yellowknife,62.46,-114.35,77.0,57,40,10.29,CA,1595376787
348,doha,25.29,51.53,95.0,79,12,4.7,QA,1595376522
349,minot,48.23,-101.3,75.2,57,1,3.36,US,1595376601
350,rio grande,-32.03,-52.1,69.01,81,92,7.9,BR,1595376787
351,kendari,-3.94,122.5,77.49,88,76,2.15,ID,1595376787
352,dhenkanal,20.67,85.6,82.4,94,90,5.82,IN,1595376788
353,sharjah,25.36,55.4,93.2,63,20,12.75,AE,1595376788
354,ilulissat,69.22,-51.1,51.8,53,96,4.7,GL,1595376788
355,concarneau,47.88,-3.92,55.4,76,26,5.82,FR,1595376532
356,nome,64.5,-165.41,57.99,81,75,19.46,US,1595376788
357,kimbe,-5.55,150.14,85.8,65,7,7.0,PG,1595376788
358,bathsheba,13.22,-59.52,82.4,74,20,16.11,BB,1595376788
359,tonantins,-2.87,-67.8,77.58,72,67,0.54,BR,1595376789
360,iquique,-20.22,-70.14,60.8,72,90,5.82,CL,1595376789
361,teahupoo,-17.83,-149.27,84.2,66,40,5.82,PF,1595376789
362,marathon,44.9,-89.77,66.99,100,90,8.05,US,1595376789
363,hearst,49.68,-83.67,70.68,46,100,3.22,CA,1595376789
364,esna,25.29,32.55,89.6,35,5,4.7,EG,1595376789
365,lompoc,34.64,-120.46,66.99,72,72,12.75,US,1595376790
366,padang,-0.95,100.35,77.81,80,100,3.8,ID,1595376790
367,quatre cocos,-20.21,57.76,68.0,77,75,12.75,MU,1595376790
368,qom,34.64,50.88,77.29,18,0,0.96,IR,1595376790
369,bambous virieux,-20.34,57.76,68.0,77,75,12.75,MU,1595376790
370,nantucket,41.28,-70.1,73.4,78,1,5.82,US,1595376773
371,kalmunai,7.42,81.82,80.19,81,100,8.59,LK,1595376790
372,vao,-22.67,167.48,67.96,75,43,19.89,NC,1595376777
373,jumla,29.27,82.18,57.52,70,92,1.16,NP,1595376791
374,tarnow,50.01,20.99,59.0,82,1,2.53,PL,1595376791
375,dauphin,51.15,-100.05,71.6,73,40,5.82,CA,1595376737
376,mozhga,56.44,52.23,58.6,94,26,5.35,RU,1595376791
377,tessalit,20.2,1.01,88.14,38,74,15.57,ML,1595376791
378,jieshi,22.81,115.83,83.14,80,7,7.9,CN,1595376791
379,faya,18.39,42.45,71.6,88,92,3.6,SA,1595376792
380,kudahuvadhoo,2.67,72.89,84.27,71,95,10.02,MV,1595376792
381,pimenta bueno,-11.67,-61.19,74.89,41,0,0.74,BR,1595376792
382,rockhampton,-23.38,150.5,64.4,68,90,8.05,AU,1595376792
383,kropotkin,45.44,40.58,62.29,85,0,6.26,RU,1595376596
384,sitka,57.05,-135.33,57.2,87,90,9.17,US,1595376719
